Autor?;Antoine De Saint-Exupery
Druh?;Epika
Žánr?;psychologická povídka
Téma a motiv?;Zobrazení nevinnosti, lásky, upřímnosti
Prostředí a čas?;Sahara, Planetky, B612
Kompozice?;Retrospektivní vzpomíná
Vypravěč?;Ich-Er forma Vyp je pilot, Malý princ mluví za sebe
Postavy?;Malý Princ, Pilot, Liška, Pijan, Lampář, Bussinesman, Král
Jazykové prostředky?;Metafory, Personifikace, Symboly, Hyperboli
Kontext tvorby?;Ztracená generace když havaroval
Další jeho tvorba?;Pilot, Noční let, Citadela
Kulturní kontext?;Ztracená generace
Dalsí Autoři?;Fitgerald, Hemingway, Remarque, Steinback
