Autor?;Karel Hynek Mácha
Druh?;Lyrika/Epika
Žánr?;Lyricko epická báseň
Téma a motiv?;Myšlenka co je po životě, ostrá kritika společnosti, společnost x příroda
Prostředí a čas?;Máchovo jezero, krajina pod Bezdězem v květnu
Kompozice?;1 zpěv - Jarmila, 2 zpěv - Vilém vzpomíná na dětství, přemýšlí o životě, Intermezo - Duchové ho vítají, 3 zpěv - Poprava a loučení s přírodou, Intermezo - Loupežnící truchlí nad smrtí vůdce, 4 zpěv - básník se vrací na popraviště lituje Vilémova osudu
Vypravěč?;Er-forma mluvčí Mácha 
Postavy?;Hynek, Vilém, Jarmila, Vilémův otec
Jazykové prostředky?;Oxymoron, Gradace, Personifikace, Metafory, Kontrast
Kontext tvorby?;Největší z básníků Českého romantismu - inspiroval mnohých 
Další jeho tvorba?;Cikáni, Kat, Márinka
Kulturní kontext?;Romanismus z Anglie 19 stol, 3 fáze národního obrození
Další autoři?;Božena Němcová, Edgar Allan Poe, Alexander Sergejevič Puškin
